BEFORE 3 	AFTER 0 
BEFORE 4099 	AFTER 1 
BEFORE 8203 	AFTER 2 
BEFORE 12299 	AFTER 3 
BEFORE 16395 	AFTER 4 
BEFORE 20491 	AFTER 5 
BEFORE 24587 	AFTER 6 
BEFORE 28683 	AFTER 7 
BEFORE 32779 	AFTER 8 
BEFORE 4099 	AFTER 1 
BEFORE 12299 	AFTER 3 
BEFORE 36875 	AFTER 9 
BEFORE 40971 	AFTER 10 
BEFORE 45067 	AFTER 11 
BEFORE 49163 	AFTER 12 
BEFORE 53259 	AFTER 13 
BEFORE 16395 	AFTER 4 
BEFORE 53259 	AFTER 13 
BEFORE 4099 	AFTER 1 
BEFORE 3 	AFTER 0 
BEFORE 36875 	AFTER 9 
BEFORE 12299 	AFTER 3 
BEFORE 45067 	AFTER 11 
BEFORE 24587 	AFTER 6 
BEFORE 49163 	AFTER 12 
BEFORE 4099 	AFTER 1 
BEFORE 57355 	AFTER 14 
BEFORE 53259 	AFTER 13 
BEFORE 12299 	AFTER 3 
BEFORE 3 	AFTER 0 
BEFORE 45067 	AFTER 11 
BEFORE 24587 	AFTER 6 
BEFORE 40971 	AFTER 10 
BEFORE 49163 	AFTER 12 
BEFORE 4099 	AFTER 1 
BEFORE 53259 	AFTER 13 
BEFORE 57355 	AFTER 14 
BEFORE 12299 	AFTER 3 
BEFORE 3 	AFTER 0 
BEFORE 45067 	AFTER 11 
BEFORE 28683 	AFTER 7 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 57355 	AFTER 14 
BEFORE 12299 	AFTER 3 
BEFORE 20491 	AFTER 5 
BEFORE 16395 	AFTER 4 
BEFORE 45067 	AFTER 11 
BEFORE 36875 	AFTER 9 
BEFORE 45067 	AFTER 11 
BEFORE 12299 	AFTER 3 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 61451 	AFTER 15 
BEFORE 57355 	AFTER 14 
BEFORE 16395 	AFTER 4 
BEFORE 53259 	AFTER 13 
BEFORE 36875 	AFTER 9 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 16395 	AFTER 4 
BEFORE 3 	AFTER 0 
BEFORE 12299 	AFTER 3 
BEFORE 65539 	AFTER 16 
BEFORE 49163 	AFTER 12 
BEFORE 65539 	AFTER 16 
BEFORE 20491 	AFTER 5 
BEFORE 4099 	AFTER 1 
BEFORE 53259 	AFTER 13 
BEFORE 69643 	AFTER 17 
BEFORE 36875 	AFTER 9 
BEFORE 16395 	AFTER 4 
BEFORE 73739 	AFTER 18 
BEFORE 53259 	AFTER 13 
BEFORE 36875 	AFTER 9 
BEFORE 69643 	AFTER 17 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 65539 	AFTER 16 
BEFORE 12299 	AFTER 3 
BEFORE 45067 	AFTER 11 
BEFORE 4099 	AFTER 1 
BEFORE 12299 	AFTER 3 
BEFORE 49163 	AFTER 12 
BEFORE 69643 	AFTER 17 
BEFORE 77835 	AFTER 19 
BEFORE 32779 	AFTER 8 
BEFORE 36875 	AFTER 9 
BEFORE 20491 	AFTER 5 
BEFORE 16395 	AFTER 4 
BEFORE 45067 	AFTER 11 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 61451 	AFTER 15 
BEFORE 57355 	AFTER 14 
